OBJECTID,CN,DESIGNATIO
1,59774641010538.000000000000000,NJ Pinelands Comprehensive Management Plan
2,59774789010538.000000000000000,NJ Pinelands Comprehensive Management Plan
3,59774234010538.000000000000000,NJ Pinelands Comprehensive Management Plan
4,59774462010538.000000000000000,NJ Pinelands Comprehensive Management Plan
5,59774709010538.000000000000000,NJ Pinelands Comprehensive Management Plan
6,59774144010538.000000000000000,NJ Pinelands Comprehensive Management Plan
7,59774448010538.000000000000000,NJ Pinelands Comprehensive Management Plan
8,164900164010661.000000000000000,NJ Pinelands Comprehensive Management Plan
9,59774961010538.000000000000000,NJ Pinelands Comprehensive Management Plan
10,59888016010538.000000000000000,NJ Pinelands Comprehensive Management Plan
11,59775269010538.000000000000000,NJ Pinelands Comprehensive Management Plan
12,59775148010538.000000000000000,NJ Pinelands Comprehensive Management Plan
13,59775255010538.000000000000000,NJ Pinelands Comprehensive Management Plan
14,59775804010538.000000000000000,NJ Pinelands Comprehensive Management Plan
15,59888265010538.000000000000000,NJ Pinelands Comprehensive Management Plan
16,59775848010538.000000000000000,NJ Pinelands Comprehensive Management Plan
17,59775962010538.000000000000000,NJ Pinelands Comprehensive Management Plan
18,59776190010538.000000000000000,NJ Pinelands Comprehensive Management Plan
19,59776101010538.000000000000000,NJ Pinelands Comprehensive Management Plan
20,59776445010538.000000000000000,NJ Pinelands Comprehensive Management Plan
21,59776597010538.000000000000000,NJ Pinelands Comprehensive Management Plan
22,59776658010538.000000000000000,NJ Pinelands Comprehensive Management Plan
23,59778023010538.000000000000000,NJ Pinelands Comprehensive Management Plan
24,59777914010538.000000000000000,NJ Pinelands Comprehensive Management Plan
25,59778277010538.000000000000000,NJ Pinelands Comprehensive Management Plan
26,59778107010538.000000000000000,NJ Pinelands Comprehensive Management Plan
27,59777552010538.000000000000000,NJ Pinelands Comprehensive Management Plan
28,59777800010538.000000000000000,NJ Pinelands Comprehensive Management Plan
29,59777958010538.000000000000000,NJ Pinelands Comprehensive Management Plan
30,59778194010538.000000000000000,NJ Pinelands Comprehensive Management Plan
31,59777566010538.000000000000000,NJ Pinelands Comprehensive Management Plan
32,59777682010538.000000000000000,NJ Pinelands Comprehensive Management Plan
33,164900169010661.000000000000000,NJ Pinelands Comprehensive Management Plan
34,164900159010661.000000000000000,NJ Pinelands Comprehensive Management Plan
35,65393910010538.000000000000000,NJ Pinelands Comprehensive Management Plan
36,65393793010538.000000000000000,NJ Pinelands Comprehensive Management Plan
37,65399781010538.000000000000000,NJ Pinelands Comprehensive Management Plan
38,65399767010538.000000000000000,NJ Pinelands Comprehensive Management Plan
39,65393574010538.000000000000000,NJ Pinelands Comprehensive Management Plan
40,65394600010538.000000000000000,NJ Pinelands Comprehensive Management Plan
41,65394267010538.000000000000000,NJ Pinelands Comprehensive Management Plan
42,65400072010538.000000000000000,NJ Pinelands Comprehensive Management Plan
43,65394158010538.000000000000000,NJ Pinelands Comprehensive Management Plan
44,65395056010538.000000000000000,NJ Pinelands Comprehensive Management Plan
45,65394951010538.000000000000000,NJ Pinelands Comprehensive Management Plan
46,65399930010538.000000000000000,NJ Pinelands Comprehensive Management Plan
47,65394746010538.000000000000000,NJ Pinelands Comprehensive Management Plan
48,65394670010538.000000000000000,NJ Pinelands Comprehensive Management Plan
49,65394856010538.000000000000000,NJ Pinelands Comprehensive Management Plan
50,65400087010538.000000000000000,NJ Pinelands Comprehensive Management Plan
51,65400115010538.000000000000000,NJ Pinelands Comprehensive Management Plan
52,65395293010538.000000000000000,NJ Pinelands Comprehensive Management Plan
53,65395489010538.000000000000000,NJ Pinelands Comprehensive Management Plan
54,65400269010538.000000000000000,NJ Pinelands Comprehensive Management Plan
55,65397699010538.000000000000000,NJ Pinelands Comprehensive Management Plan
56,65397319010538.000000000000000,NJ Pinelands Comprehensive Management Plan
57,65397955010538.000000000000000,NJ Pinelands Comprehensive Management Plan
58,65397889010538.000000000000000,NJ Pinelands Comprehensive Management Plan
59,65401647010538.000000000000000,NJ Pinelands Comprehensive Management Plan
60,65397592010538.000000000000000,NJ Pinelands Comprehensive Management Plan
61,65401790010538.000000000000000,NJ Pinelands Comprehensive Management Plan
62,65397492010538.000000000000000,NJ Pinelands Comprehensive Management Plan
63,164900162010661.000000000000000,NJ Pinelands Comprehensive Management Plan
64,164900163010661.000000000000000,NJ Pinelands Comprehensive Management Plan
65,74520536010538.000000000000000,NJ Pinelands Comprehensive Management Plan
66,74520401010538.000000000000000,NJ Pinelands Comprehensive Management Plan
67,74520482010538.000000000000000,NJ Pinelands Comprehensive Management Plan
68,74519989010538.000000000000000,NJ Pinelands Comprehensive Management Plan
69,74520336010538.000000000000000,NJ Pinelands Comprehensive Management Plan
70,74520687010538.000000000000000,NJ Pinelands Comprehensive Management Plan
71,74520043010538.000000000000000,NJ Pinelands Comprehensive Management Plan
72,74520122010538.000000000000000,NJ Pinelands Comprehensive Management Plan
73,74520704010538.000000000000000,NJ Pinelands Comprehensive Management Plan
74,74520585010538.000000000000000,NJ Pinelands Comprehensive Management Plan
75,74520568010538.000000000000000,NJ Pinelands Comprehensive Management Plan
76,74521423010538.000000000000000,NJ Pinelands Comprehensive Management Plan
77,74521316010538.000000000000000,NJ Pinelands Comprehensive Management Plan
78,74521801010538.000000000000000,NJ Pinelands Comprehensive Management Plan
79,74521187010538.000000000000000,NJ Pinelands Comprehensive Management Plan
80,74522233010538.000000000000000,NJ Pinelands Comprehensive Management Plan
81,74521574010538.000000000000000,NJ Pinelands Comprehensive Management Plan
82,74521332010538.000000000000000,NJ Pinelands Comprehensive Management Plan
83,74521702010538.000000000000000,NJ Pinelands Comprehensive Management Plan
84,74521479010538.000000000000000,NJ Pinelands Comprehensive Management Plan
85,74521300010538.000000000000000,NJ Pinelands Comprehensive Management Plan
86,74521106010538.000000000000000,NJ Pinelands Comprehensive Management Plan
87,74522002010538.000000000000000,NJ Pinelands Comprehensive Management Plan
88,74521006010538.000000000000000,NJ Pinelands Comprehensive Management Plan
89,74521090010538.000000000000000,NJ Pinelands Comprehensive Management Plan
90,74521892010538.000000000000000,NJ Pinelands Comprehensive Management Plan
91,74521204010538.000000000000000,NJ Pinelands Comprehensive Management Plan
92,74522133010538.000000000000000,NJ Pinelands Comprehensive Management Plan
93,74522437010538.000000000000000,NJ Pinelands Comprehensive Management Plan
94,74522341010538.000000000000000,NJ Pinelands Comprehensive Management Plan
95,74523131010538.000000000000000,NJ Pinelands Comprehensive Management Plan
96,74522827010538.000000000000000,NJ Pinelands Comprehensive Management Plan
97,74522959010538.000000000000000,NJ Pinelands Comprehensive Management Plan
98,74522793010538.000000000000000,NJ Pinelands Comprehensive Management Plan
99,74523057010538.000000000000000,NJ Pinelands Comprehensive Management Plan
100,74523503010538.000000000000000,NJ Pinelands Comprehensive Management Plan
101,74523732010538.000000000000000,NJ Pinelands Comprehensive Management Plan
102,74523640010538.000000000000000,NJ Pinelands Comprehensive Management Plan
103,74524208010538.000000000000000,NJ Pinelands Comprehensive Management Plan
