OBJECTID,CN,DESIGNATIO
1,375837714489998.000000000000000,NJ Pinelands Comprehensive Management Plan
2,375837779489998.000000000000000,NJ Pinelands Comprehensive Management Plan
3,375837731489998.000000000000000,NJ Pinelands Comprehensive Management Plan
4,375837778489998.000000000000000,NJ Pinelands Comprehensive Management Plan
5,375837728489998.000000000000000,NJ Pinelands Comprehensive Management Plan
6,375837754489998.000000000000000,NJ Pinelands Comprehensive Management Plan
7,375837727489998.000000000000000,NJ Pinelands Comprehensive Management Plan
8,375837713489998.000000000000000,NJ Pinelands Comprehensive Management Plan
9,375837643489998.000000000000000,NJ Pinelands Comprehensive Management Plan
10,375837712489998.000000000000000,NJ Pinelands Comprehensive Management Plan
11,375837729489998.000000000000000,NJ Pinelands Comprehensive Management Plan
12,375837725489998.000000000000000,NJ Pinelands Comprehensive Management Plan
13,375837924489998.000000000000000,NJ Pinelands Comprehensive Management Plan
14,375837925489998.000000000000000,NJ Pinelands Comprehensive Management Plan
15,375837914489998.000000000000000,NJ Pinelands Comprehensive Management Plan
16,375837951489998.000000000000000,NJ Pinelands Comprehensive Management Plan
17,375837875489998.000000000000000,NJ Pinelands Comprehensive Management Plan
18,375837724489998.000000000000000,NJ Pinelands Comprehensive Management Plan
19,375837775489998.000000000000000,NJ Pinelands Comprehensive Management Plan
20,375837752489998.000000000000000,NJ Pinelands Comprehensive Management Plan
21,375837776489998.000000000000000,NJ Pinelands Comprehensive Management Plan
22,375837753489998.000000000000000,NJ Pinelands Comprehensive Management Plan
23,375837726489998.000000000000000,NJ Pinelands Comprehensive Management Plan
24,375837721489998.000000000000000,NJ Pinelands Comprehensive Management Plan
25,375837773489998.000000000000000,NJ Pinelands Comprehensive Management Plan
26,375837751489998.000000000000000,NJ Pinelands Comprehensive Management Plan
27,375837796489998.000000000000000,NJ Pinelands Comprehensive Management Plan
28,375837777489998.000000000000000,NJ Pinelands Comprehensive Management Plan
29,375837916489998.000000000000000,NJ Pinelands Comprehensive Management Plan
30,375837946489998.000000000000000,NJ Pinelands Comprehensive Management Plan
31,375837947489998.000000000000000,NJ Pinelands Comprehensive Management Plan
32,375837941489998.000000000000000,NJ Pinelands Comprehensive Management Plan
33,375837800489998.000000000000000,NJ Pinelands Comprehensive Management Plan
34,375837846489998.000000000000000,NJ Pinelands Comprehensive Management Plan
35,375837861489998.000000000000000,NJ Pinelands Comprehensive Management Plan
36,375837882489998.000000000000000,NJ Pinelands Comprehensive Management Plan
37,375837883489998.000000000000000,NJ Pinelands Comprehensive Management Plan
38,375837903489998.000000000000000,NJ Pinelands Comprehensive Management Plan
39,375837877489998.000000000000000,NJ Pinelands Comprehensive Management Plan
40,375837913489998.000000000000000,NJ Pinelands Comprehensive Management Plan
41,375837917489998.000000000000000,NJ Pinelands Comprehensive Management Plan
42,375837817489998.000000000000000,NJ Pinelands Comprehensive Management Plan
43,375837797489998.000000000000000,NJ Pinelands Comprehensive Management Plan
44,375837636489998.000000000000000,NJ Pinelands Comprehensive Management Plan
45,375837798489998.000000000000000,NJ Pinelands Comprehensive Management Plan
46,375837950489998.000000000000000,NJ Pinelands Comprehensive Management Plan
47,375837890489998.000000000000000,NJ Pinelands Comprehensive Management Plan
48,375837717489998.000000000000000,NJ Pinelands Comprehensive Management Plan
49,375837715489998.000000000000000,NJ Pinelands Comprehensive Management Plan
50,375837757489998.000000000000000,NJ Pinelands Comprehensive Management Plan
51,375837747489998.000000000000000,NJ Pinelands Comprehensive Management Plan
52,375837887489998.000000000000000,NJ Pinelands Comprehensive Management Plan
53,375837911489998.000000000000000,NJ Pinelands Comprehensive Management Plan
54,375837912489998.000000000000000,NJ Pinelands Comprehensive Management Plan
55,375837915489998.000000000000000,NJ Pinelands Comprehensive Management Plan
56,375837923489998.000000000000000,NJ Pinelands Comprehensive Management Plan
57,375837942489998.000000000000000,NJ Pinelands Comprehensive Management Plan
58,375837755489998.000000000000000,NJ Pinelands Comprehensive Management Plan
59,375837818489998.000000000000000,NJ Pinelands Comprehensive Management Plan
60,375837952489998.000000000000000,NJ Pinelands Comprehensive Management Plan
61,375837795489998.000000000000000,NJ Pinelands Comprehensive Management Plan
62,375837647489998.000000000000000,NJ Pinelands Comprehensive Management Plan
63,375837720489998.000000000000000,NJ Pinelands Comprehensive Management Plan
64,375837722489998.000000000000000,NJ Pinelands Comprehensive Management Plan
65,375837718489998.000000000000000,NJ Pinelands Comprehensive Management Plan
66,375837719489998.000000000000000,NJ Pinelands Comprehensive Management Plan
67,375837772489998.000000000000000,NJ Pinelands Comprehensive Management Plan
68,375837771489998.000000000000000,NJ Pinelands Comprehensive Management Plan
69,375837723489998.000000000000000,NJ Pinelands Comprehensive Management Plan
70,375837855489998.000000000000000,NJ Pinelands Comprehensive Management Plan
71,375837908489998.000000000000000,NJ Pinelands Comprehensive Management Plan
72,375837840489998.000000000000000,NJ Pinelands Comprehensive Management Plan
