"CN","LON","LAT"
"304207955489998",-74.616862,39.487552
"304207956489998",-74.629224,39.444686
"304207895489998",-74.940372,39.493939
"304207957489998",-74.757493,39.487448
"304207878489998",-74.719981,39.315611
"304207876489998",-74.81938,39.442976
"304207893489998",-74.528545,39.326976
"304207954489998",-74.730426,39.558638
"304207816489998",-74.697927,39.335176
"304207892489998",-74.47477,39.402958
"304208126489998",-74.370953,39.409887
"304208061489998",-74.453065,39.498485
"304208009489998",-74.618943,39.595636
"304208107489998",-74.46865,39.357373
"304208125489998",-74.517778,39.311513
"304208120489998",-74.552607,39.3037
"304208012489998",-74.601882,39.341528
"304208127489998",-74.628729,39.313855
"304208011489998",-74.719257,39.329147
"304208097489998",-74.669941,39.589914
"304208111489998",-74.622172,39.524414
"304208115489998",-74.569575,39.485246
"304208116489998",-74.669076,39.483522
"304208123489998",-74.641677,39.425276
"304208136489998",-74.772618,39.486413
"304208133489998",-74.804931,39.492731
"304208138489998",-74.825205,39.482619
"304208139489998",-74.843137,39.496605
"304208041489998",-74.922852,39.567115
"304208048489998",-74.752621,39.449163
"304208066489998",-74.726576,39.323524
"304208081489998",-74.859067,39.324504
"304207960489998",-74.106193,40.831857
"304207958489998",-74.115224,41.049901
"304207927489998",-74.069859,40.899671
"304207818489998",-73.999139,40.99229
"304207926489998",-73.949949,40.858441
"304208064489998",-74.070855,40.866198
"304207982489998",-74.095795,40.997145
"304208058489998",-74.114363,41.013773
"304207947489998",-74.544927,39.847581
"304207820489998",-74.977615,39.958579
"304207949489998",-74.465742,39.701214
"304207918489998",-74.758468,40.025547
"304207920489998",-74.883894,39.897233
"304207953489998",-74.640517,39.673985
"304207891489998",-74.578472,39.618985
"304207808489998",-74.825696,39.954452
"304207946489998",-74.483634,39.892379
"304207888489998",-74.427029,39.775762
"304207948489998",-74.584585,39.85122
"304207970489998",-74.65232,39.686089
"304207814489998",-74.59432,39.71413
"304207952489998",-74.793995,39.787128
"304207917489998",-74.638057,40.09265
"304207807489998",-74.701255,39.895512
"304207950489998",-74.52261,39.644746
"304207919489998",-74.678509,39.964562
"304207951489998",-74.76087,39.795668
"304207916489998",-74.571793,40.087649
"304208095489998",-74.44371,39.85271
"304208114489998",-74.537967,40.019025
"304208028489998",-74.60644,39.965583
"304208143489998",-74.535286,39.823341
"304207974489998",-74.531289,39.728868
"304208079489998",-74.716919,39.771251
"304208087489998",-74.805698,39.803194
"304208096489998",-74.635999,39.639426
"304208045489998",-74.567654,40.077671
"304208073489998",-74.673313,40.04892
"304208083489998",-74.705898,40.003214
"304207990489998",-74.741432,39.986299
"304208084489998",-74.783116,40.051098
"304207988489998",-74.826209,39.96287
"304208121489998",-74.893615,39.995987
"304208129489998",-74.919733,40.015803
"304208037489998",-74.846326,39.836078
"304207829489998",-75.053757,39.939692
"304207922489998",-74.959542,39.765734
"304207840489998",-75.085268,39.85682
"304207923489998",-74.982998,39.70942
"304207809489998",-74.84935,39.675416
"304207921489998",-74.940425,39.833716
"304207810489998",-74.970796,39.788699
"304208056489998",-74.913434,39.716872
"304207999489998",-75.001149,39.903097
"304208004489998",-75.087239,39.910471
"304207885489998",-74.916247,38.994037
"304207924489998",-74.820076,39.142796
"304207879489998",-74.790047,39.184836
"304207925489998",-74.857061,38.949884
"304207884489998",-74.865463,39.043379
"304207883489998",-74.919887,39.208169
"304208128489998",-74.613009,39.25535
"304208101489998",-74.704051,39.25714
"304208102489998",-74.668589,39.216216
"304208109489998",-74.730156,39.217526
"304208122489998",-74.737738,39.056669
"304208019489998",-74.785775,39.023139
"304208080489998",-74.84617,39.233014
"304208089489998",-74.86289,39.245729
"304208049489998",-74.933641,39.001739
"304207882489998",-75.067535,39.344596
"304207880489998",-74.909495,39.296563
"304207881489998",-75.019655,39.338205
"304207896489998",-74.993574,39.43313
"304207849489998",-75.328664,39.393424
"304207901489998",-75.228763,39.32322
"304207897489998",-75.130683,39.465172
"304207877489998",-74.883471,39.388575
"304207899489998",-75.177814,39.411711
"304207900489998",-75.095589,39.227335
"304208106489998",-74.937679,39.280012
"304208119489998",-75.018119,39.343885
"304208050489998",-75.001193,39.491976
"304208053489998",-74.952095,39.389686
"304208054489998",-75.027373,39.484472
"304208072489998",-75.102237,39.455653
"304208108489998",-75.106747,39.317402
"304208043489998",-75.247005,39.285498
"304208008489998",-75.302915,39.371252
"304207980489998",-75.366716,39.371645
"304207903489998",-74.192949,40.704755
"304207962489998",-74.247406,40.856065
"304207931489998",-74.333598,40.754524
"304207929489998",-74.315712,40.771392
"304207961489998",-74.144297,40.807771
"304208117489998",-74.184444,40.759851
"304208131489998",-74.226137,40.818215
"304207978489998",-74.183538,40.756621
"304208076489998",-74.296473,40.823634
"304208103489998",-74.2771,40.734868
"304207875489998",-74.905473,39.605518
"304207845489998",-75.318791,39.718029
"304207844489998",-75.273143,39.77671
"304207842489998",-75.167604,39.680252
"304207841489998",-75.144448,39.821827
"304207894489998",-74.883913,39.681324
"304208146489998",-74.898339,39.603618
"304208038489998",-74.956259,39.675608
"304208074489998",-74.975085,39.687594
"304208075489998",-75.08159,39.72533
"304208092489998",-74.945623,39.610802
"304208093489998",-75.016671,39.642272
"304208134489998",-74.975871,39.589255
"304208010489998",-75.12274,39.859449
"304208027489998",-75.177002,39.706101
"304207986489998",-75.24655,39.668345
"304207973489998",-75.29866,39.776603
"304207928489998",-74.049633,40.714863
"304208069489998",-74.073937,40.772934
"304207838489998",-75.022079,40.556896
"304207824489998",-74.82654,40.487973
"304207828489998",-74.896343,40.352185
"304207825489998",-74.863786,40.492276
"304207836489998",-74.921541,40.596079
"304207873489998",-74.800674,40.58584
"304207833489998",-74.85533,40.741279
"304208071489998",-74.753477,40.62007
"304207983489998",-74.997019,40.451598
"304208029489998",-74.823574,40.711012
"304207976489998",-74.877355,40.682038
"304207998489998",-74.947268,40.707553
"304208003489998",-74.931798,40.58432
