"Total volume of DWM (FWD, CWD and piles) in cubic feet, on forest land",tvdwmall
Area change - area timberland both measurements from remeasured plots,ac-atlbmrp
"Aboveground dry weight of bark for live trees (at least 1 inch d.b.h./d.r.c.), in short tons, on forest land",agdwbfl
"Gross volume of sawtimber trees, in board feet (International 1/4-inch rule), on forest land",gvstfl
"Average annual mortality of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland",aamgstl
"Net volume of saw-log portion of sawtimber trees, in cubic feet, on forest land",nvslpfl
"Aboveground dry weight of live trees (woodland species at least 1 inch d.r.c.), in short tons, on timberland",agdwtl
"Average annual mortality of trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on timberland",aamcftl
"Area of forest land, in acres",afl
"Average annual other removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland",aaorgstl
"Average annual net growth of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land",aanggsfl
"Average annual removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land",aargsfl
"Average annual net growth of sawtimber trees, in board feet (International 1/4-inch rule), on timberland",aagsttl
"Belowground carbon in live seedlings, shrubs, and bushes, in short tons, on forest land",bgclssbfl
"Carbon in litter, in short tons, on forest land",clfl
"Forest carbon pool 5: soil organic, in metric tonnes, on forest land",fcp5sofl
Area change - area forest land either measurement from remeasured plots,ac-aflemrp
"Total volume of FWD (all sizes) pieces, in cubic feet, on forest land",tvfwdaspfl
"Carbon in organic soil, in short tons, on forest land",cosfl
"Forest carbon pool 3: dead wood, in metric tonnes, on forest land",fcp3dwfl
"Total carbon in DWM (FWD, CWD and piles) in short tons, on forest land",tcdwmall
"Average annual net growth of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on timberland",aangtl
"Above and belowground carbon in live trees (at least 1 inch d.b.h./d.r.c), in short tons, on forest land",agbgcfl
"Aboveground dry weight of standing-dead trees (at least 5 inches d.b.h./d.r.c.), in short tons, on forest land",agdwsdfl
Area change - area timberland either measurement from remeasured plots,ac-atlemrp
"Average annual harvest removals of sawtimber trees, in board feet (International 1/4-inch rule), on timberland",aahrswtl
"Aboveground merchantable dry weight of live trees (at least 5 inches d.b.h./d.r.c), in short tons, on timberland calculated with retired regional methods",agmdwtlrrm
"Average annual mortality of trees (at least 5 inches d.b.h./d.r.c.), in trees, on forest land",aamfl
"Average annual removals of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on timberland",aartl
"Average annual other removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land",aaorgsfl
"Net volume of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land",nvltfl
"Dry weight of tops and limbs for live trees (timber species at least 5 inches d.b.h.), in short tons, on timberland",dwtltl
"Number of standing-dead trees (at least 5 inches d.b.h./d.r.c.), in trees, on forest land",nsdfl
"Aboveground dry weight of live trees (at least 1 inch d.b.h./d.r.c), in short tons, on timberland",agdwtl
"Net volume of sawtimber trees, in board feet (International 1/4-inch rule), on forest land",nvstfl
"Carbon in organic soil, in short tons, on timberland",costl
"Carbon in litter, in short tons, on timberland",cltl
"Above and belowground carbon in live trees (at least 1 inch d.b.h./d.r.c), in short tons, on timberland",agbgctl
Area change - sampled at both inventories by remeasured plots,ac-sbirp
"Forest carbon pool 1: live aboveground, in metric tonnes, on forest land",fcp1lagfl
"Carbon in FWD (medium) pieces, in short tons, on forest land",cfwdmpfl
"Average annual harvest removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland",aahrgstl
"Total volume of CWD, in cubic feet, on forest land",tvcwdfl
"Net volume of standing-dead trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land",nvsdfl
"Total carbon, in short tons, on forest land",tcfl
"Dry weight of stumps for live trees (timber species at least 5 inches d.b.h.), in short tons, on forest land",dwsfl
"Average annual other removals of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land",aaorfl
